epoch,split,loss_total,loss_ce,loss_bbox,loss_giou,loss_cardinality
4,train,1.587287,0.469580,0.056314,0.418068,6.371132
4,val,1.519315,0.445697,0.051935,0.406971,6.812319
5,train,1.589173,0.467177,0.056799,0.419000,6.378201
5,val,1.512880,0.450580,0.051788,0.401681,6.693058
6,train,1.600894,0.475002,0.056982,0.420492,6.511912
6,val,1.528647,0.464515,0.051509,0.403294,7.270827
7,train,1.564961,0.460695,0.055371,0.413705,6.375666
7,val,1.531009,0.462763,0.051072,0.406442,7.237159
8,train,1.568831,0.460751,0.055664,0.414879,6.328851
8,val,1.500061,0.446792,0.050365,0.400722,7.556421
9,train,1.565200,0.463105,0.055168,0.413127,6.436774
9,val,1.505722,0.449228,0.050502,0.401991,7.458186
10,train,1.535763,0.451940,0.053819,0.407364,6.389982
10,val,1.509880,0.442098,0.051753,0.404509,6.566573
11,train,1.514007,0.441919,0.053029,0.403473,6.372096
11,val,1.470968,0.437860,0.048873,0.394371,7.262319
12,train,1.498475,0.436347,0.052132,0.400734,6.455362
12,val,1.458010,0.432075,0.048415,0.391930,7.317295
13,train,1.494311,0.434487,0.052043,0.399805,6.296458
13,val,1.441443,0.421036,0.047712,0.390923,6.709430
14,train,1.474248,0.425004,0.051194,0.396638,6.294757
14,val,1.445574,0.423050,0.047828,0.391691,7.065730
15,train,1.466434,0.422948,0.050615,0.395205,6.236981
15,val,1.446910,0.424263,0.048072,0.391144,6.923596
16,train,1.447886,0.412732,0.049886,0.392861,6.288402
16,val,1.429201,0.421447,0.046995,0.386388,7.660474
17,train,1.443207,0.412788,0.049881,0.390508,6.342310
17,val,1.420676,0.418206,0.046445,0.385122,6.877528
18,train,1.427561,0.406012,0.049078,0.388081,6.267220
18,val,1.400923,0.408461,0.045912,0.381450,6.700120
19,train,1.414245,0.401999,0.048474,0.384937,6.275419
19,val,1.392042,0.405604,0.045688,0.378999,7.361717
20,train,1.401758,0.396394,0.048011,0.382653,6.182169
20,val,1.389496,0.404209,0.045184,0.379684,6.851404
21,train,1.388782,0.391452,0.047349,0.380291,6.329184
21,val,1.385644,0.406200,0.044734,0.377888,7.134711
22,train,1.377109,0.386313,0.047005,0.377886,6.352413
22,val,1.372774,0.396370,0.044854,0.376067,7.221910
23,train,1.369138,0.382062,0.046590,0.377064,6.235946
23,val,1.370097,0.394788,0.044889,0.375432,7.023796
24,train,1.358885,0.376008,0.046364,0.375528,6.138281
24,val,1.368878,0.394450,0.044761,0.375311,6.904615
